1693.93   0.033   0.012
1732.27   0.088   0.026
1729      0.146   0.02   
1757      0.248   0.035   
1789      0.242   0.035   
1790.86   0.25    0.02
1822      0.369   0.021    
1845      0.412   0.024    
1870      0.467   0.027 
1877.82   0.42    0.07   
1891      0.523   0.031    
1908      0.662   0.095   
1926      0.529   0.03    
1934      0.696   0.1   
1939      0.545   0.032    
1954      0.604   0.085
1970      0.465   0.026    
1985      0.494   0.029    
2019      0.434   0.024    
2031      0.436   0.025    
2059      0.418   0.023    
2074      0.393   0.023    
2106      0.332   0.02    
2118      0.37    0.021    
2147      0.338   0.019    
2158      0.298   0.017    
2188      0.3     0.017    
2202      0.28    0.016    
2224      0.273   0.016    
2243      0.26    0.015    
2261      0.25    0.014    
2282      0.25    0.015    
2304      0.242   0.014    
2318      0.22    0.013    
2341      0.217   0.012    
2355      0.234   0.014
    
