  559.300 0.160   0.020
  561.700 0.470   0.110
  563.700 0.770   0.050
  568.300 1.146   0.178
  569.100 1.180   0.090
  574.400 1.230   0.060
  579.800 1.340   0.060
  590.600 1.780   0.150
  591.900 2.031   0.252
  592.000 1.529   0.153
  596.000 1.890   0.130
  601.400 2.170   0.110
  602.700 2.395   0.229
  606.800 2.300   0.110
  612.200 2.300   0.110
  616.400 2.577   0.322
  617.600 2.420   0.110
  623.100 2.690   0.240
  628.200 2.548   0.229
  628.500 2.770   0.230
  630.200 2.633   0.200
  633.900 2.440   0.240
  636.100 2.563   0.322
  639.300 3.000   0.570
  652.800 2.500   0.700
  655.000 2.369   0.204
  672.500 2.750   0.300
  683.300 2.446   0.280
  702.100 2.280   1.000
  704.000 2.385   0.211
  719.800 3.000   0.400
  721.800 2.451   0.350
  733.700 1.834   0.178
  751.400 1.915   0.074
  798.900 1.223   0.178
  800.500 1.546   0.074
  848.300 1.325   0.204
  850.300 1.092   0.055
  870.100 1.250   0.300
  875.000 1.045   0.153
  893.900 1.121   0.178
  899.800 1.068   0.084
  899.800 0.971   0.064
  949.400 1.280   0.076
  968.300 1.350   0.127
  975.000 1.172   0.153
  999.000 1.096   0.057
 1115.200 1.325   0.076
 1117.000 1.146   0.127
 1262.400 0.430   0.060
 1300.000 0.637   0.076
 1336.000 0.300   0.040
 1409.700 0.370   0.040
 1456.500 0.693   0.051
 1563.200 0.310   0.020
 1655.900 0.515   0.038
 1855.300 0.548   0.041
 1890.200 0.200   0.020
 1955.100 0.220   0.040
 2034.900 0.150   0.020
 2054.900 0.433   0.033
 2167.700 0.170   0.010
 2254.500 0.324   0.025
